Designator,Footprint,Quantity,Value,LCSC Part #
"C3, C4, C5, C6, C7, C8",C_Disc_D6.0mm_W2.5mm_P5.00mm,6,100n,
D1,LED_D3.0mm,1,LED,
D2,D_DO-34_SOD68_P7.62mm_Horizontal,1,BAT86,
H1,MountingHole_3.2mm_M3,1,MountingHole,
"Q1, Q2",TO-92_Inline,2,2N7000,
Q3,SOT-223-3_TabPin2,1,Q_PMOS_GDS,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,1k5,
"R10, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,100kΩ,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,100Ω,
U1,DIP-20_W7.62mm_Socket_LongPads,1,GAL16V8,
U2,DIP-16_W7.62mm_Socket_LongPads,1,74LS165,
U3,ESP32_mini,1,mini_esp32,
U4,DIP-16_W7.62mm_Socket_LongPads,1,74HC595,
U5,5v_switching_TO220,1,5v module (hx1314G based),
U7,DIP-28_W15.24mm_Socket_LongPads,1,27C512,
U9,DIP-14_W7.62mm_Socket_LongPads,1,74HCT125,
Z1,ZX_Bus_Edge_Connector,1,ZX48Bus,
