Designator,Mid X,Mid Y,Rotation,Layer
C3,85.84,-86.57,270.0,top
C4,90.3,-101.19,180.0,top
C5,68.78,-117.1,270.0,top
C6,86.091,-68.7,0.0,top
C7,105.475,-68.7,180.0,top
C8,116.4375,-118.352,270.0,top
D1,125.349,-130.175,90.0,top
D2,77.1475,-89.5985,0.0,top
Q1,77.094,-103.759,0.0,top
Q2,82.8725,-103.759,0.0,top
Q3,79.4,-96.774,180.0,top
R1,85.852,-94.9325,270.0,top
R10,76.3905,-111.8235,90.0,top
R2,113.688,-118.3315,90.0,top
R3,111.402,-118.3315,270.0,top
R8,79.97825,-111.8235,270.0,top
R9,83.566,-111.8235,270.0,top
U1,95.783,-76.053,90.0,top
U2,97.54,-110.17,90.0,top
U3,125.250189,-91.2825,180.0,top
U4,98.293,-90.22,90.0,top
U5,75.338,-68.137,90.0,top
U7,89.935,-125.675,90.0,top
U9,128.016,-118.364,90.0,top
Z1,60.82,-100.55,270.0,top
